date_time,series,value
2023-06-13 11:58:25,spec9,1026
2023-06-13 11:58:25,spec1,1036
2023-06-13 11:58:25,spec2,1032
2023-06-13 11:58:25,spec3,1030
2023-06-13 11:58:25,spec4,1029
2023-06-13 11:58:25,spec5,1029
2023-06-13 11:58:25,spec6,1029
2023-06-13 11:58:25,spec7,1028
2023-06-13 11:58:25,spec8,1027
2023-06-13 11:58:25,spec10,1026
2023-06-13 11:58:25,spec11,1027
2023-06-13 11:58:25,spec12,1028
2023-06-13 11:58:25,spec13,1029
2023-06-13 11:58:25,spec14,1031
2023-06-13 11:58:25,spec15,1034
2023-06-13 11:58:25,spec16,1038
2023-06-13 12:00:17,spec25,1040
2023-06-13 12:00:17,spec24,1045
2023-06-13 12:00:17,spec12,1026
2023-06-13 12:00:17,spec1,1032
2023-06-13 12:00:17,spec2,1031
2023-06-13 12:00:17,spec3,1030
2023-06-13 12:00:17,spec4,1028
2023-06-13 12:00:17,spec5,1026
2023-06-13 12:00:17,spec6,1025
2023-06-13 12:00:17,spec7,1026
2023-06-13 12:00:17,spec8,1025
2023-06-13 12:00:17,spec9,1025
2023-06-13 12:00:17,spec10,1025
2023-06-13 12:00:17,spec11,1026
2023-06-13 12:00:17,spec13,1028
2023-06-13 12:00:17,spec14,1030
2023-06-13 12:00:17,spec15,1033
2023-06-13 12:00:17,spec16,1037
2023-06-13 12:00:17,spec17,1041
2023-06-13 12:00:17,spec18,1044
2023-06-13 12:00:17,spec19,1046
2023-06-13 12:00:17,spec20,1047
2023-06-13 12:00:17,spec21,1049
2023-06-13 12:00:17,spec22,1049
2023-06-13 12:00:17,spec23,1048
2023-06-13 12:02:08,spec13,1027
2023-06-13 12:02:08,spec25,1037
2023-06-13 12:02:08,spec24,1041
2023-06-13 12:02:08,spec23,1045
2023-06-13 12:02:08,spec22,1047
2023-06-13 12:02:08,spec21,1047
2023-06-13 12:02:08,spec20,1046
2023-06-13 12:02:08,spec19,1044
2023-06-13 12:02:08,spec18,1042
2023-06-13 12:02:08,spec17,1039
2023-06-13 12:02:08,spec16,1036
2023-06-13 12:02:08,spec15,1032
2023-06-13 12:02:08,spec14,1029
2023-06-13 12:02:08,spec12,1026
2023-06-13 12:02:08,spec11,1026
2023-06-13 12:02:08,spec10,1026
2023-06-13 12:02:08,spec9,1025
2023-06-13 12:02:08,spec8,1024
2023-06-13 12:02:08,spec7,1024
2023-06-13 12:02:08,spec6,1024
2023-06-13 12:02:08,spec5,1025
2023-06-13 12:02:08,spec4,1026
2023-06-13 12:02:08,spec3,1027
2023-06-13 12:02:08,spec2,1028
2023-06-13 12:02:08,spec1,1030
2023-06-13 12:04:00,spec18,1040
2023-06-13 12:04:00,spec19,1043
2023-06-13 12:04:00,spec20,1046
2023-06-13 12:04:00,spec21,1047
2023-06-13 12:04:00,spec22,1046
2023-06-13 12:04:00,spec23,1043
2023-06-13 12:04:00,spec24,1040
